id,rank,name,genus,species,authors,year,citation_micro,citation_full,citation_id,publication_id,basionym_id,ipni_id,wfo_id,gbif_id,note
e4583fe4-8fd1-11eb-924d-9cd76263cbd0,genus,Hahnia,,,Medik.,,"Gesch. Bot. 8. 1793.",,,,,,wfo-4000016710,3012127,
96a7121a-8fcd-11eb-924d-9cd76263cbd0,species,arbutifolia,Hahnia,,"(L.) Medik.",,"Geschichte der Botanik unserer Zeiten ; 1793 82 1793",,,,,725450-1,wfo-0000990977,5365042,
96aad8f0-8fcd-11eb-924d-9cd76263cbd0,variety,nigra,Hahnia,arbutifolia,Medik.,,"Geschichte der Botanik unserer Zeiten ; 1793 82 1793",,,,,116899-2,wfo-0000991012,5365043,
98a83d28-8fcd-11eb-924d-9cd76263cbd0,species,aria,Hahnia,,"(L.) Medik.",,"Geschichte der Botanik unserer Zeiten ; 1793 81 1793",,,,,725451-1,wfo-0000994922,5365173,
98a85902-8fcd-11eb-924d-9cd76263cbd0,species,chamaemespilus,Hahnia,,"(L.) Medik.",,"Geschichte der Botanik unserer Zeiten ; 1793 82 1793",,,,,725452-1,wfo-0000994923,5365085,
98a8745a-8fcd-11eb-924d-9cd76263cbd0,species,hostii,Hahnia,,Dippel,,"Handbuch der Laubholzkunde ; 1889 378 1893",,,,,,wfo-0000994924,5365040,
98a8fb6e-8fcd-11eb-924d-9cd76263cbd0,species,intermedia,Hahnia,,Samp.,,"; 1931 47 1931",,,,,725454-1,wfo-0000994929,5365038,
9f1198bc-8fcd-11eb-924d-9cd76263cbd0,species,mougeotii,Hahnia,,"(Soy.-Will. & Godr.) C.K.Schneid.",,"Dendrologische Winterstudien ; 1903 247, f.170i-l 1903",,,,,,wfo-0001008084,5365039,
98a8905c-8fcd-11eb-924d-9cd76263cbd0,species,pinnatifida,Hahnia,,"(Ehrh.) Medik.",,"Geschichte der Botanik unserer Zeiten ; 1793 82 1793",,,,,725455-1,wfo-0000994925,5365037,
98a8c586-8fcd-11eb-924d-9cd76263cbd0,species,suecica,Hahnia,,"(L.) Dippel",,"Handbuch der Laubholzkunde ; 1889 377 1893",,,,,,wfo-0000994927,5365035,
98a8e0fc-8fcd-11eb-924d-9cd76263cbd0,species,torminalis,Hahnia,,"(L.) Medik.",,"Geschichte der Botanik unserer Zeiten ; 1793 81 1793",,,,,725457-1,wfo-0000994928,5365172,
