id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
e805fcf8-8fd1-11eb-924d-9cd76263cbd0,genus,Parinarium,,,Juss.,,,,"Gen. Pl. : 342 (1789)",,,,,,urn:lsid:ipni.org:names:33940-1,wfo-4000028208,9371486,,
96d95fae-8fcd-11eb-924d-9cd76263cbd0,species,coccineum,Parinarium,,Elmer,0,1909,,"; 1909 578 1909",,,,,,,wfo-0000991426,3023092,,
965625bc-8fcd-11eb-924d-9cd76263cbd0,species,latifolium,Parinarium,,M.R.Hend.,0,1933,,"; 1933 102 1933",,,,,,,wfo-0000990264,7832164,,
9935aa14-8fcd-11eb-924d-9cd76263cbd0,species,parile,Parinarium,,J.F.Macbr.,0,1934,,"; 1934 367 1934",,,,,,,wfo-0000996017,7361428,,
9ed87ae6-8fcd-11eb-924d-9cd76263cbd0,species,salicifolium,Parinarium,,Engl.,0,1895,,"Die Pflanzenwelt Ost-Afrikas ; 1895 191 1895",,,,,,,wfo-0001007643,8179543,,
