id,rank,name,genus,species,authors,author_ids,year,status,citation_micro,citation_full,citation_id,publication_id,basionym_id,type_id,ipni_id,wfo_id,gbif_id,indexfungorum_id,note
9f19dc62-1d4d-11ec-82c2-f14daa6f2d93,genus,Cottetia,,,"(Gand.) Gand.",,1883,,"Rad Jugoslav. Akad. Znan. 66: 128 (1883)",,,,,,urn:lsid:ipni.org:names:77161408-1,wfo-4000046428,,,
b07ffae8-1d4a-11ec-82c2-f14daa6f2d93,species,croatica,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.572 1881",,,,,,,wfo-0001009489,,,
b08171b6-1d4a-11ec-82c2-f14daa6f2d93,species,dinarica,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.659 1881",,,,,,,wfo-0001009496,,,
b080a43e-1d4a-11ec-82c2-f14daa6f2d93,species,macroacantha,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.584 1881",,,,,,,wfo-0001009493,,,
b0807b76-1d4a-11ec-82c2-f14daa6f2d93,species,montenegrina,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.614 1881",,,,,,,wfo-0001009492,,,
b37a1f44-1d4a-11ec-82c2-f14daa6f2d93,species,oblongifolia,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 72, no.599 1881",,,,,,,wfo-0001013764,,,
b0802de2-1d4a-11ec-82c2-f14daa6f2d93,species,pantocekii,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.574 1881",,,,,,,wfo-0001009490,,,
b07facf0-1d4a-11ec-82c2-f14daa6f2d93,species,pimpinellifolia,Cottetia,,"(L.) Gand.",,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.555 1881",,,,,,,wfo-0001009487,,,
b080f556-1d4a-11ec-82c2-f14daa6f2d93,species,reversa,Cottetia,,"(Waldst. & Kit.) Gand.",,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.679 1881",,,,,,,wfo-0001009494,,,
b07fd5ae-1d4a-11ec-82c2-f14daa6f2d93,species,spinosissima,Cottetia,,"(L.) Gand.",,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.571 1881",,,,,,,wfo-0001009488,,,
b08148e4-1d4a-11ec-82c2-f14daa6f2d93,species,sternbergii,Cottetia,,Gand.,,1883,,"; 1883 131 1883",,,,,,,wfo-0001009495,,,
b08052b8-1d4a-11ec-82c2-f14daa6f2d93,species,uckae,Cottetia,,Gand.,,1881,,"Tabulae rhodologicae europaeo-orientales locupletissimae ; 1881 no.570 1881",,,,,,,wfo-0001009491,,,
